service,company,logoText,processes,assetTypes,tasks,tags,description,url,operatorNote,summary,targetIndustries,targetRoles,targetUseCases,painPoints,solutions,effects,comparisonPoints
不動産チェッカー,株式会社トーラス,TRS,不動産売却|不動産仲介|不動産購入|不動産開発/不動産運用,土地|戸建|マンション|事業用不動産,物件調査|権利関係確認|ソーシング|価格妥当性確認|DD管理,登記情報|地図検索|営業リスト|データ抽出,地図上にピンを立てて土地情報の確認や登記簿取得を行える調査・マーケティングツール。築古物件、相続・売買情報、面積、地主調査などの切り口でデータを分析できる。,https://www.torus.co.jp/pages/checker.html,,地図上にピンを立てて土地情報の確認や登記簿取得を行える調査・マーケティングツール。築古物件、相続・売買情報、面積、地主調査などの切り口でデータを分析できる。,売買仲介会社|不動産保有会社|デベロッパー|買取再販会社|不動産投資会社|AM会社|PM会社|不動産ファンド,売却担当|媒介獲得担当|アセット売却担当|売買仲介営業|営業企画|契約担当|仕入担当|投資検討担当|審査担当|開発担当|AM担当|PM担当|運用管理担当,物件調査|権利関係確認|ソーシング|価格妥当性確認|DD管理,物件情報や候補案件が分散し、検索・共有に時間がかかる|価格や収支の根拠を短時間で説明しづらい|登記・権利・周辺情報の調査に手作業が多く、抜け漏れ確認が重い,登記情報|地図検索|営業リスト|データ抽出|物件調査|権利関係確認|ソーシング|価格妥当性確認,情報共有と進捗確認をしやすくする|判断材料を整理し、説明品質を高める|査定・価格検討のスピードと根拠説明を強化する,対象アセットと対応エリア|既存CRM・物件管理・契約管理との連携可否|データ更新頻度と出典|料金体系とアカウント権限管理
SRE AI査定CLOUD,SRE AI Partners株式会社,SRE,不動産売却|不動産購入,マンション|戸建|土地,売却価格査定|価格妥当性確認|売却提案,AI査定|価格査定,AIによる不動産価格査定をクラウドで提供。売却査定や取得検討の初期判断に使える。SREホールディングスグループでは不動産仲介コンサルティングやアセットマネジメント事業も行うため、比較時はその点も確認したい。,https://sre-ai-partners.co.jp/service/srecloud/aisateicloud/,SREホールディングスグループは、不動産仲介コンサルティングやアセットマネジメント事業も行っています。,AIによる不動産価格査定をクラウドで提供。売却査定や取得検討の初期判断に使える。SREホールディングスグループでは不動産仲介コンサルティングやアセットマネジメント事業も行うため、比較時はその点も確認したい。,不動産保有会社|デベロッパー|買取再販会社|不動産投資会社,売却担当|媒介獲得担当|アセット売却担当|仕入担当|投資検討担当|審査担当,売却価格査定|価格妥当性確認|売却提案,価格や収支の根拠を短時間で説明しづらい,AI査定|価格査定|売却価格査定|価格妥当性確認|売却提案,情報共有と進捗確認をしやすくする|判断材料を整理し、説明品質を高める|査定・価格検討のスピードと根拠説明を強化する,対象アセットと対応エリア|既存CRM・物件管理・契約管理との連携可否|データ更新頻度と出典|料金体系とアカウント権限管理|提供会社またはグループ会社の不動産実業との関係
スマサテ,リーウェイズ株式会社,SS,不動産売却|不動産購入,マンション|賃貸住宅,売却価格査定|売却提案|価格妥当性確認,AI査定|マーケット情報,マンション・賃貸住宅の査定や将来賃料予測を支援。売却提案前の価格妥当性確認に使いやすい。,https://sumasate.jp/,,マンション・賃貸住宅の査定や将来賃料予測を支援。売却提案前の価格妥当性確認に使いやすい。,不動産保有会社|デベロッパー|買取再販会社|不動産投資会社,売却担当|媒介獲得担当|アセット売却担当|仕入担当|投資検討担当|審査担当,売却価格査定|売却提案|価格妥当性確認,価格や収支の根拠を短時間で説明しづらい,AI査定|マーケット情報|売却価格査定|売却提案|価格妥当性確認,情報共有と進捗確認をしやすくする|判断材料を整理し、説明品質を高める|査定・価格検討のスピードと根拠説明を強化する,対象アセットと対応エリア|既存CRM・物件管理・契約管理との連携可否|データ更新頻度と出典|料金体系とアカウント権限管理
Gate.,リーウェイズ株式会社,GT,不動産購入|不動産開発/不動産運用,収益不動産|賃貸住宅|マンション,価格妥当性確認|事業収支作成|売却出口戦略,AI収支分析|投資判断,収益不動産の投資分析を支援。賃料・空室・価格を踏まえた取得判断と出口検討に使える。,https://ai.gate.estate/,,収益不動産の投資分析を支援。賃料・空室・価格を踏まえた取得判断と出口検討に使える。,買取再販会社|不動産投資会社|AM会社|PM会社|不動産ファンド,仕入担当|投資検討担当|審査担当|開発担当|AM担当|PM担当|運用管理担当,価格妥当性確認|事業収支作成|売却出口戦略,価格や収支の根拠を短時間で説明しづらい,AI収支分析|投資判断|価格妥当性確認|事業収支作成|売却出口戦略,情報共有と進捗確認をしやすくする|判断材料を整理し、説明品質を高める|査定・価格検討のスピードと根拠説明を強化する,対象アセットと対応エリア|既存CRM・物件管理・契約管理との連携可否|データ更新頻度と出典|料金体系とアカウント権限管理
デベNAVI,つくるAI株式会社,DN,不動産仲介|不動産購入|不動産開発/不動産運用,土地|賃貸住宅|マンション|オフィス,ソーシング|初期スクリーニング|価格妥当性確認|DD管理|事業企画|用途検討|事業収支作成|物件情報整理,ボリュームチェック|用地仕入|事業性検証|物件管理,土地のボリュームチェック、開発前提価格の概算、物件情報の一元管理を支援する案件検討DXサービス。グループ会社につくる地所株式会社などの不動産開発・投資事業会社がある点も確認しておきたい。,https://tsukuru-ai.co.jp/deve-navi,トグルホールディングスグループ内に、不動産開発・不動産投資を行うつくる地所株式会社などがあります。,土地のボリュームチェック、開発前提価格の概算、物件情報の一元管理を支援する案件検討DXサービス。グループ会社につくる地所株式会社などの不動産開発・投資事業会社がある点も確認しておきたい。,売買仲介会社|買取再販会社|不動産投資会社|AM会社|PM会社|不動産ファンド|オフィス仲介・管理会社,売買仲介営業|営業企画|契約担当|仕入担当|投資検討担当|審査担当|開発担当|AM担当|PM担当|運用管理担当,ソーシング|初期スクリーニング|価格妥当性確認|DD管理|事業企画|用途検討|事業収支作成|物件情報整理,物件情報や候補案件が分散し、検索・共有に時間がかかる|価格や収支の根拠を短時間で説明しづらい,ボリュームチェック|用地仕入|事業性検証|物件管理|ソーシング|初期スクリーニング|価格妥当性確認|DD管理,情報共有と進捗確認をしやすくする|判断材料を整理し、説明品質を高める|査定・価格検討のスピードと根拠説明を強化する,対象アセットと対応エリア|既存CRM・物件管理・契約管理との連携可否|データ更新頻度と出典|料金体系とアカウント権限管理|提供会社またはグループ会社の不動産実業との関係
TASUKI TECH LAND,株式会社ZISEDAI（タスキグループ）,TL,不動産購入|不動産開発/不動産運用,土地|賃貸住宅|マンション,ソーシング|物件情報整理|価格妥当性確認|DD管理|事業企画|用途検討|レポーティング,土地仕入管理|GIS|AI OCR|都市計画情報,土地所有者や仲介事業者から届く用地・物件仕入情報をクラウドで一元管理し、都市計画情報の自動取得やAI-OCRで仕入検討を支援するSaaS。タスキグループは新築投資用IoTレジデンスの企画開発など不動産実業も行う。,https://tasukicorp.co.jp/news/8550/,提供会社のグループは、新築投資用IoTレジデンスの企画開発など不動産実業も行っています。,土地所有者や仲介事業者から届く用地・物件仕入情報をクラウドで一元管理し、都市計画情報の自動取得やAI-OCRで仕入検討を支援するSaaS。タスキグループは新築投資用IoTレジデンスの企画開発など不動産実業も行う。,買取再販会社|不動産投資会社|AM会社|PM会社|不動産ファンド,仕入担当|投資検討担当|審査担当|開発担当|AM担当|PM担当|運用管理担当,ソーシング|物件情報整理|価格妥当性確認|DD管理|事業企画|用途検討|レポーティング,物件情報や候補案件が分散し、検索・共有に時間がかかる|価格や収支の根拠を短時間で説明しづらい,土地仕入管理|GIS|AI OCR|都市計画情報|ソーシング|物件情報整理|価格妥当性確認|DD管理,情報共有と進捗確認をしやすくする|判断材料を整理し、説明品質を高める|査定・価格検討のスピードと根拠説明を強化する|運用データを蓄積し、レポーティングや改善検討に活用しやすくする,対象アセットと対応エリア|既存CRM・物件管理・契約管理との連携可否|データ更新頻度と出典|料金体系とアカウント権限管理|提供会社またはグループ会社の不動産実業との関係
TAS-MAP,株式会社タス,TAS,不動産売却|不動産購入|不動産開発/不動産運用,マンション|戸建|土地|賃貸住宅|収益不動産,売却価格査定|価格妥当性確認|事業収支作成,賃料査定|空室率|投資分析,賃料・空室率・価格水準などの分析を行う不動産評価支援サービス。収益物件の売却・取得検討に向く。,https://corporate.tas-japan.com/corporate/about-us/,,賃料・空室率・価格水準などの分析を行う不動産評価支援サービス。収益物件の売却・取得検討に向く。,不動産保有会社|デベロッパー|買取再販会社|不動産投資会社|AM会社|PM会社|不動産ファンド,売却担当|媒介獲得担当|アセット売却担当|仕入担当|投資検討担当|審査担当|開発担当|AM担当|PM担当|運用管理担当,売却価格査定|価格妥当性確認|事業収支作成,価格や収支の根拠を短時間で説明しづらい,賃料査定|空室率|投資分析|売却価格査定|価格妥当性確認|事業収支作成,情報共有と進捗確認をしやすくする|判断材料を整理し、説明品質を高める|査定・価格検討のスピードと根拠説明を強化する,対象アセットと対応エリア|既存CRM・物件管理・契約管理との連携可否|データ更新頻度と出典|料金体系とアカウント権限管理
マンション査定システム,株式会社東京カンテイ,TK,不動産売却|不動産仲介,マンション,売却価格査定|売却提案|販売資料作成,価格査定|マンション|査定書,専有面積、階数、方位などから査定額と査定書作成を支援する東京カンテイの法人向けサービス。,https://www.hp.kantei.ne.jp/,,専有面積、階数、方位などから査定額と査定書作成を支援する東京カンテイの法人向けサービス。,売買仲介会社|不動産保有会社|デベロッパー,売却担当|媒介獲得担当|アセット売却担当|売買仲介営業|営業企画|契約担当,売却価格査定|売却提案|販売資料作成,価格や収支の根拠を短時間で説明しづらい|提案資料や内見準備が属人化し、顧客対応の品質に差が出る,価格査定|マンション|査定書|売却価格査定|売却提案|販売資料作成,情報共有と進捗確認をしやすくする|判断材料を整理し、説明品質を高める|査定・価格検討のスピードと根拠説明を強化する|資料作成や提案準備を標準化する,対象アセットと対応エリア|既存CRM・物件管理・契約管理との連携可否|データ更新頻度と出典|料金体系とアカウント権限管理
土地査定システム,株式会社東京カンテイ,TK,不動産売却|不動産購入|不動産開発/不動産運用,土地,売却価格査定|価格妥当性確認|事業企画,土地査定|価格査定|査定書,土地の取引事例、公示・基準地などをもとに査定額と査定書作成を支援する法人向けサービス。,https://www.hp.kantei.ne.jp/lp/estate_assessment_tochi/01/index.html,,土地の取引事例、公示・基準地などをもとに査定額と査定書作成を支援する法人向けサービス。,不動産保有会社|デベロッパー|買取再販会社|不動産投資会社|AM会社|PM会社|不動産ファンド,売却担当|媒介獲得担当|アセット売却担当|仕入担当|投資検討担当|審査担当|開発担当|AM担当|PM担当|運用管理担当,売却価格査定|価格妥当性確認|事業企画,価格や収支の根拠を短時間で説明しづらい,土地査定|価格査定|査定書|売却価格査定|価格妥当性確認|事業企画,情報共有と進捗確認をしやすくする|判断材料を整理し、説明品質を高める|査定・価格検討のスピードと根拠説明を強化する,対象アセットと対応エリア|既存CRM・物件管理・契約管理との連携可否|データ更新頻度と出典|料金体系とアカウント権限管理
カタログコピーサービス,株式会社東京カンテイ,TK,不動産売却|不動産仲介|不動産購入,マンション,物件情報整理|販売資料作成|DD管理,カタログ情報|間取図|分譲時資料,指定マンションの間取図、平面図、建築概要、分譲時価格表などを取得する会員制データサービス。,https://www.kantei.ne.jp/wp-content/uploads/service_estate_list.pdf,,指定マンションの間取図、平面図、建築概要、分譲時価格表などを取得する会員制データサービス。,売買仲介会社|不動産保有会社|デベロッパー|買取再販会社|不動産投資会社,売却担当|媒介獲得担当|アセット売却担当|売買仲介営業|営業企画|契約担当|仕入担当|投資検討担当|審査担当,物件情報整理|販売資料作成|DD管理,物件情報や候補案件が分散し、検索・共有に時間がかかる|提案資料や内見準備が属人化し、顧客対応の品質に差が出る,カタログ情報|間取図|分譲時資料|物件情報整理|販売資料作成|DD管理,情報共有と進捗確認をしやすくする|判断材料を整理し、説明品質を高める|資料作成や提案準備を標準化する,対象アセットと対応エリア|既存CRM・物件管理・契約管理との連携可否|データ更新頻度と出典|料金体系とアカウント権限管理
マンション相場Plus,株式会社東京カンテイ,TK,不動産売却|不動産購入,マンション,売却価格査定|価格妥当性確認|販売資料作成,相場情報|売買事例|賃貸事例,指定マンションの新築時情報、中古価格推移、売買・賃貸事例サマリをまとめて確認する会員制サービス。,https://www.kantei.ne.jp/wp-content/uploads/service_estate_list.pdf,,指定マンションの新築時情報、中古価格推移、売買・賃貸事例サマリをまとめて確認する会員制サービス。,不動産保有会社|デベロッパー|買取再販会社|不動産投資会社,売却担当|媒介獲得担当|アセット売却担当|仕入担当|投資検討担当|審査担当,売却価格査定|価格妥当性確認|販売資料作成,価格や収支の根拠を短時間で説明しづらい|提案資料や内見準備が属人化し、顧客対応の品質に差が出る,相場情報|売買事例|賃貸事例|売却価格査定|価格妥当性確認|販売資料作成,情報共有と進捗確認をしやすくする|判断材料を整理し、説明品質を高める|査定・価格検討のスピードと根拠説明を強化する|資料作成や提案準備を標準化する,対象アセットと対応エリア|既存CRM・物件管理・契約管理との連携可否|データ更新頻度と出典|料金体系とアカウント権限管理
土地相場Plus,株式会社東京カンテイ,TK,不動産売却|不動産購入|不動産開発/不動産運用,土地,価格妥当性確認|事業企画|DD管理,土地価格|路線価|公示地価,対象地付近の路線価、実勢価格、公示・基準地、流通情報を網羅的に確認する会員制データサービス。,https://www.kantei.ne.jp/wp-content/uploads/service_estate_list.pdf,,対象地付近の路線価、実勢価格、公示・基準地、流通情報を網羅的に確認する会員制データサービス。,不動産保有会社|デベロッパー|買取再販会社|不動産投資会社|AM会社|PM会社|不動産ファンド,売却担当|媒介獲得担当|アセット売却担当|仕入担当|投資検討担当|審査担当|開発担当|AM担当|PM担当|運用管理担当,価格妥当性確認|事業企画|DD管理,価格や収支の根拠を短時間で説明しづらい,土地価格|路線価|公示地価|価格妥当性確認|事業企画|DD管理,情報共有と進捗確認をしやすくする|判断材料を整理し、説明品質を高める|査定・価格検討のスピードと根拠説明を強化する,対象アセットと対応エリア|既存CRM・物件管理・契約管理との連携可否|データ更新頻度と出典|料金体系とアカウント権限管理
