industry,process,tasks,adopter,service,provider,summary,url
売買仲介,不動産仲介,買主探索|販売資料作成|売却活動管理,株式会社永大ハウス工業,Facilo,株式会社Facilo,全店舗導入により、営業担当の提案品質と顧客管理を標準化した事例。,https://facilo.jp/case/eidaihousekogyo
売買仲介,不動産仲介,買主探索|内見・案内|初期スクリーニング,パシフィック不動産株式会社,Facilo,株式会社Facilo,追客を顧客起点へ変え、成約数向上を目指した買い仲介の活用事例。,https://www.facilo.jp/case/pacific_buyer
売買仲介,不動産仲介,内見・案内|買主探索|販売資料作成,ウスイホーム株式会社,Facilo,株式会社Facilo,物件精査と顧客サポートをマイページで補強し、再案内につなげた事例。,https://www.facilo.jp/case/usui_home
売買仲介,不動産仲介,リード獲得|初回ヒアリング|買主探索,東海住宅株式会社,Facilo,株式会社Facilo,再面談率改善と遠方顧客の成約支援をテーマにした仲介営業DXの事例。,https://facilo.jp/case/tokai_jutaku
売買仲介,不動産仲介,初回ヒアリング|物件概要書作成|帯替え|買主探索|販売資料作成,一心エステート株式会社,Facilo,株式会社Facilo,営業成果と顧客体験を高めるため、仲介営業の提案・追客をクラウド化した事例。,https://facilo.jp/case/05
賃貸管理,不動産開発/不動産運用,PM/BM管理|レポーティング|賃貸借契約管理,株式会社コスギ不動産,WealthPark Business,WealthPark株式会社,送金明細やオーナー連絡をデジタル化し、PM業務の効率化とオーナー体験向上を進めた事例。,https://wealth-park.com/ja/business/case-study/kosugi/
賃貸管理,不動産開発/不動産運用,PM/BM管理|レポーティング|賃貸借契約管理,旭化成不動産レジデンス株式会社,WealthPark Business,WealthPark株式会社,試験導入を経て、オーナーアプリの全面導入を決定した大規模賃貸管理の事例。,https://wealth-park.com/ja/business/case-study/asahi-kasei/
賃貸管理,不動産開発/不動産運用,PM/BM管理|レポーティング|賃貸借契約管理,株式会社レオパレス21,WealthPark Business,WealthPark株式会社,多数のオーナーとの接点を再構築し、情報共有と次世代オーナーとの関係づくりを進める事例。,https://wealth-park.com/en/business/case-study/leopalace21/
賃貸管理,不動産開発/不動産運用,PM/BM管理|レポーティング|賃貸借契約管理,ミノラス不動産株式会社,WealthPark Business,WealthPark株式会社,地域密着の管理会社がオーナーアプリで資産管理コンサルティング活動を支援した事例。,https://wealth-park.com/en/business/case-study/minorasu/
賃貸管理,不動産開発/不動産運用,PM/BM管理|レポーティング|賃貸借契約管理,NITOH株式会社,GMO賃貸DX,GMO ReTech株式会社,オーナー接点をアプリ化し、報告書の印刷・郵送・封入作業を削減した事例。,https://chintaidx.com/case/230731/
賃貸管理,不動産開発/不動産運用,PM/BM管理|賃貸借契約管理|レポーティング,株式会社ジョイテック,GMO賃貸DX,GMO ReTech株式会社,AIやDX活用を進める管理会社が、顧客コミュニケーション強化のため導入した事例。,https://chintaidx.com/case/231023/
賃貸管理,不動産開発/不動産運用,PM/BM管理|レポーティング|賃貸借契約管理,株式会社PM Labo,GMO賃貸DX,GMO ReTech株式会社,入居者アプリで入居者対応を削減し、管理業務の属人化を抑える事例。,https://chintaidx.com/case/241203/
賃貸管理,不動産開発/不動産運用,PM/BM管理|レポーティング|賃貸借契約管理,株式会社レーベンコーポレーション,GMO賃貸DX,GMO ReTech株式会社,地域密着型の賃貸管理会社が、オーナーとの連絡と現場対応をデジタル化した事例。,https://chintaidx.com/case/240520/
賃貸管理,不動産開発/不動産運用,PM/BM管理|レポーティング|賃貸借契約管理,株式会社マルヨシ,GMO賃貸DX,GMO ReTech株式会社,紙・メール中心だった収支報告をアプリへ移行し、郵送作業と連絡負荷を削減した事例。,https://chintaidx.com/case/20250619/
賃貸管理,不動産開発/不動産運用,PM/BM管理|レポーティング|賃貸借契約管理,アセットテクノロジー株式会社,GMO賃貸DX,GMO ReTech株式会社,創業時からペーパーレス前提で賃貸管理体制を作った活用事例。,https://chintaidx.com/case/250131/
賃貸管理,不動産開発/不動産運用,PM/BM管理|レポーティング|修繕計画,アパルトマンエージェント株式会社,GMO賃貸DX,GMO ReTech株式会社,不動産管理のDXを、オーナーとの目的共有や建物診断レポート活用につなげる事例。,https://chintaidx.com/case/600/
賃貸管理,不動産開発/不動産運用,PM/BM管理|レポーティング|賃貸借契約管理,株式会社リビングギャラリー,GMO賃貸DX,GMO ReTech株式会社,新潟エリアの管理会社が、オーナー・入居者アプリを統合して業務改革を進めた事例。,https://chintaidx.com/case/20250226/
不動産開発,不動産開発/不動産運用,建設・改修管理|修繕計画|レポーティング,株式会社不動産SHOPナカジツ,ANDPAD,株式会社アンドパッド,協力会社・職人・資材商社との受発注や現場情報をANDPADで管理した不動産会社の事例。,https://andpad.jp/cases/nakajitsu
不動産開発,不動産開発/不動産運用,建設・改修管理|修繕計画|レポーティング,株式会社フロンティアハウス,ANDPAD,株式会社アンドパッド,営業・現場・経理の情報を一元管理し、開発・建築現場の情報共有を進めた事例。,https://andpad.jp/cases/frontier-house
不動産開発,不動産購入,内見・案内|販売資料作成|買主探索,野村不動産株式会社,ROOV,株式会社スタイルポート,複数の販売プロジェクトを横断管理し、販売現場のナレッジを全社展開する取り組み。,https://styleport.co.jp/news/4256/
不動産開発,不動産購入,内見・案内|販売資料作成|買主探索,相鉄不動産株式会社,ROOV,株式会社スタイルポート,戸建て・新築分譲マンション販売で、3Dコミュニケーションプラットフォームを採用した事例。,https://styleport.co.jp/news/2719/
不動産開発,不動産購入,内見・案内|販売資料作成|買主探索,東急リバブル株式会社,ROOV,株式会社スタイルポート,新築マンション・戸建の集約型販売拠点でVR内覧を採用した事例。,https://styleport.co.jp/news/2274/
住宅販売,不動産購入,内見・案内|販売資料作成|買主探索,株式会社ヒノキヤグループ,ROOV housing,株式会社スタイルポート,戸建て住宅販売のプラン提案から引き渡しまで、空間イメージ把握を支援した事例。,https://styleport.co.jp/news/3211/
売買仲介,不動産仲介,初回ヒアリング|買主探索|内見・案内,アルファス株式会社,Facilo,株式会社Facilo,顧客ログとメモ機能で意思決定プロセスを可視化し、若手でも高度なコンサルティング営業を再現しやすくした事例。,https://www.facilo.jp/case/alphas
売買仲介,不動産仲介,リード獲得|初回ヒアリング|買主探索,株式会社暮らしワークス,Facilo,株式会社Facilo,少人数体制の仲介営業で、顧客ログを使って追客と提案準備を変えた事例。,https://www.facilo.jp/case/kurashi-works
売買仲介,不動産仲介,買主探索|内見・案内|販売資料作成,株式会社アース住販,Facilo,株式会社Facilo,担当顧客数を増やしながら、リードタイム短縮と顧客接点の質向上を進めた事例。,https://www.facilo.jp/case/earth_juhan
売買仲介,不動産仲介,初回ヒアリング|買主探索|内見・案内,株式会社リレーション,Facilo,株式会社Facilo,顧客ログとメモ機能で面談後の離脱を抑え、成約率向上につなげた購入仲介の事例。,https://www.facilo.jp/case/relation_buyer
売買仲介,不動産仲介,買主探索|内見・案内|販売資料作成,株式会社グランドアルファ,Facilo,株式会社Facilo,営業担当の知見とデジタル提案を組み合わせ、顧客の検討体験に伴走した事例。,https://www.facilo.jp/case/grandalpha
売買仲介,不動産仲介,売却提案|媒介契約|売却活動管理,株式会社リレーション,Facilo,株式会社Facilo,売主への透明性ある情報共有により、媒介契約獲得と価格調整コミュニケーションを改善した事例。,https://www.facilo.jp/case/relation_seller
売買仲介,不動産仲介,初回ヒアリング|買主探索|内見・案内,株式会社仁リアルティ,Facilo,株式会社Facilo,マイページを通じて顧客の自主的な検討を促し、離脱率の低減につなげた事例。,https://www.facilo.jp/case/zin_realty
住宅・開発,不動産開発/不動産運用,建設・改修管理|事業収支作成|レポーティング,株式会社リガード,ANDPAD,株式会社アンドパッド,原価情報と施工現場の状況を一元管理し、成長戦略に必要なデータ基盤づくりを進めた事例。,https://andpad.jp/cases/regard-home
不動産開発,不動産開発/不動産運用,建設・改修管理|PM/BM管理|レポーティング,株式会社ナミキ,ANDPAD,株式会社アンドパッド,老舗不動産・建設グループが、現場情報と社内連携のデジタル化に取り組んだ事例。,https://andpad.jp/cases/namiki
不動産開発,不動産開発/不動産運用,建設・改修管理|修繕計画|レポーティング,株式会社ブルーボックス,ANDPAD,株式会社アンドパッド,不動産会社の工事・管理領域で、業務変革を目的にANDPADを活用した事例。,https://andpad.jp/cases/bluebox
不動産開発,不動産開発/不動産運用,建設・改修管理|修繕計画|レポーティング,アーバンライフ株式会社,ANDPAD,株式会社アンドパッド,図面共有と施工品質管理をデジタル化し、デスクワーク削減を進めた事例。,https://andpad.jp/cases/urbanlife_zumen
不動産管理,不動産開発/不動産運用,PM/BM管理|修繕計画|建設・改修管理,株式会社イニシオ・ライフサービス,ANDPAD,株式会社アンドパッド,建物管理の施工情報を共有し、管理品質向上を目指した事例。,https://andpad.jp/cases/inizio-life
不動産管理,不動産開発/不動産運用,PM/BM管理|修繕計画|建設・改修管理,プロパティワコー株式会社,ANDPAD,株式会社アンドパッド,賃貸管理の修繕・工事情報を見える化し、顧客対応品質の向上につなげた事例。,https://andpad.jp/cases/property-wako
不動産管理,不動産開発/不動産運用,PM/BM管理|修繕計画|建設・改修管理,株式会社日本財託管理サービス,ANDPAD,株式会社アンドパッド,職人との情報共有を丁寧に設計し、同規模人員で売上向上を実現した事例。,https://andpad.jp/cases/nihonzaitaku
不動産管理,不動産開発/不動産運用,PM/BM管理|修繕計画|建設・改修管理,株式会社ジェイエーアメニティーハウス,ANDPAD,株式会社アンドパッド,物件管理と工事管理を効率化し、オーナー収益最大化を支える体制づくりに取り組んだ事例。,https://andpad.jp/cases/jaamenityhouse
不動産管理,不動産開発/不動産運用,PM/BM管理|修繕計画|建設・改修管理,野村不動産パートナーズ株式会社,KANNA,株式会社アルダグラム,マンション原状回復工事の進捗・写真・関係者連絡を集約し、確認電話や再撮影依頼を減らした事例。,https://lp.kanna4u.com/casestudy/nomura-pt_pm/
不動産管理,不動産開発/不動産運用,PM/BM管理|修繕計画|建設・改修管理,三井不動産リアルティ株式会社,KANNA,株式会社アルダグラム,駐車場・駐輪場の施工情報を長期的にデータベース化し、現場情報管理を進めた事例。,https://lp.kanna4u.com/casestudy/mf-realty/
不動産管理,不動産開発/不動産運用,PM/BM管理|修繕計画|建設・改修管理,株式会社東急コミュニティー,KANNA,株式会社アルダグラム,現場作業の遅延や情報伝達の課題を解消し、残業時間削減に取り組んだ事例。,https://lp.kanna4u.com/casestudy/tokyu-com_1/
不動産関連工事,不動産開発/不動産運用,建設・改修管理|修繕計画|レポーティング,三井デザインテック株式会社,KANNA,株式会社アルダグラム,報告書作成・共有をデジタル帳票化し、管理側と現場側の負担を減らした事例。,https://lp.kanna4u.com/casestudy/mitsui-designtec/
売買仲介,不動産売却,リード獲得|初回ヒアリング|売却活動管理,株式会社ハウシーク,Digima,株式会社コンベックス,SMSと自動追客で売主との接点を強化し、訪問査定アポイントの増加につなげた事例。,https://blog.digima.com/casestudy/nanyo-housedo
売買仲介,不動産売却,リード獲得|初回ヒアリング|売却活動管理,ASプロパティ株式会社,Digima,株式会社コンベックス,一括査定開始と同時にDigimaを導入し、反響管理と中長期フォローの体制を整えた事例。,https://blog.digima.com/casestudy/asproperty
売買仲介,不動産売却,リード獲得|売却提案|売却活動管理,ファミリアホームサービス株式会社,Digima,株式会社コンベックス,査定反響数が増えた状況でも、面談率と受託率を保つために追客自動化を活用した事例。,https://blog.digima.com/casestudy/minatokutokaidori-housedo
住宅・開発,不動産仲介,リード獲得|初回ヒアリング|買主探索,株式会社エーシン,KASIKA,Cocolive株式会社,休眠顧客へのアプローチ、顧客行動の可視化、イベントメール自動送信で来場機会を増やした事例。,https://ssl.gltomonokai.com/images/tool/kasika/files/kasika_interview02.pdf
売買仲介,不動産仲介,物件概要書作成|帯替え|販売資料作成|買主探索,東宝ハウス国分寺株式会社,Facilo,株式会社Facilo,物件提案と顧客比較検討をデジタル化し、購入検討者への情報共有を効率化した事例。,https://facilo.jp/case/tohohouse_kokubunji
売買仲介,不動産仲介,物件概要書作成|帯替え|販売資料作成|内見・案内,株式会社スミカ・クリエイト,Facilo,株式会社Facilo,紙やPDF中心だった提案資料をオンライン化し、顧客の物件比較と営業対応を支援した事例。,https://www.facilo.jp/case/08
売買仲介,不動産仲介,初回ヒアリング|買主探索|物件概要書作成|帯替え,株式会社ハローホーム,Facilo,株式会社Facilo,購入検討者との接点をマイページ化し、提案後の反応把握と追加提案をしやすくした事例。,https://www.facilo.jp/case/hellohome
売買仲介,不動産仲介,買主探索|販売資料作成|物件概要書作成|帯替え,株式会社CORE,Facilo,株式会社Facilo,地域密着の仲介営業で、提案物件と顧客反応の共有を効率化した事例。,https://www.facilo.jp/case/core_chuorinkan
売買仲介,不動産仲介,初回ヒアリング|買主探索|物件概要書作成|帯替え,株式会社BWコンサルティング,Facilo,株式会社Facilo,買主側仲介の検討プロセスを可視化し、提案物件の整理と顧客コミュニケーションを支援した事例。,https://www.facilo.jp/case/bwconsulting
賃貸管理,不動産開発/不動産運用,PM/BM管理|レポーティング|賃貸借契約管理,京王不動産株式会社,WealthPark Business,WealthPark株式会社,オーナーアプリによる報告・連絡のデジタル化で、オーナー接点の効率化を進めた事例。,https://wealth-park.com/ja/business/case-study/keio/
賃貸管理,不動産開発/不動産運用,PM/BM管理|レポーティング|賃貸借契約管理,株式会社大興不動産,WealthPark Business,WealthPark株式会社,地域密着の管理会社が、オーナー向け情報共有と資産管理コミュニケーションをデジタル化した事例。,https://wealth-park.com/ja/business/case-study/taiko-fudosan/
賃貸管理,不動産開発/不動産運用,PM/BM管理|レポーティング|賃貸借契約管理,株式会社トラスト,WealthPark Business,WealthPark株式会社,不動産管理のオーナー連絡・報告業務をオンライン化し、情報提供の質向上を目指した事例。,https://wealth-park.com/ja/business/case-study/trust/
賃貸管理,不動産開発/不動産運用,PM/BM管理|レポーティング|賃貸借契約管理,三井不動産レジデンシャルリース株式会社,WealthPark Business,WealthPark株式会社,賃貸住宅管理におけるオーナー向け情報提供をアプリで強化した事例。,https://wealth-park.com/sc/business/case-study/mfrl/
売買仲介,不動産仲介,物件概要書作成|帯替え|販売資料作成|買主探索,株式会社プレミアムライフ,Facilo,株式会社Facilo,顧客対応スピードと物件提案数を高めるため、仲介営業の提案プロセスをデジタル化した事例。,https://www.facilo.jp/case/02
売買仲介,不動産仲介,初回ヒアリング|買主探索|物件概要書作成|帯替え,KW Tokyo,Facilo,株式会社Facilo,不動産エージェンシーの顧客提案とコミュニケーションをオンライン化し、新しい営業体験を設計した事例。,https://www.facilo.jp/case/03
売買仲介,不動産仲介,リード獲得|初回ヒアリング|買主探索|物件概要書作成|帯替え,株式会社ＫＩＺＵＮＡ ＦＡＣＴＯＲＹ,Facilo,株式会社Facilo,SNS経由の問い合わせと物件提案を効率化し、顧客ログを活用して検討状況を把握した事例。,https://www.facilo.jp/case/04
売買仲介,不動産売却,売却価格査定|売却提案|売却活動管理,関西不動産販売株式会社,SRE AI査定CLOUD,SRE AI Partners株式会社,査定書作成の負荷を下げ、問い合わせ当日のスピード対応と営業担当者の負担軽減につなげた事例。,https://sre-ai-partners.co.jp/service/srecloud/aisateicloud/case_study.html
売買仲介,不動産売却,売却価格査定|売却提案|リード獲得,株式会社三恵地所,SRE AI査定CLOUD,SRE AI Partners株式会社,分譲マンションへの営業活動で、AI査定をフックに査定書作成時間の短縮と集客力向上を図った事例。,https://sre-ai-partners.co.jp/service/srecloud/aisateicloud/case_study2.html
売買仲介,不動産売却,売却価格査定|売却提案|初回ヒアリング,株式会社スミカ・クリエイト,SRE AI査定CLOUD,SRE AI Partners株式会社,反響への初期対応を早め、リサーチ・査定書作成時間を削減して潜在顧客への対応範囲を広げた事例。,https://sre-ai-partners.co.jp/service/srecloud/aisateicloud/case_study3.html
賃貸管理,不動産購入,価格妥当性確認|初期スクリーニング|レポーティング,日本財託グループ,スマサテ,リーウェイズ株式会社,仕入れ時の賃料査定と受託時のコンサルティング提案を効率化し、判断材料を整備した事例。,https://sumasate.jp/example/011/
不動産投資・販売,不動産購入,価格妥当性確認|初期スクリーニング|売却価格査定,プロパティエージェント株式会社,スマサテ,リーウェイズ株式会社,査定件数の増加に対応するため、賃料査定プロセスを標準化し、処理件数を増やした事例。,https://sumasate.jp/example/010/
売買仲介,不動産購入,価格妥当性確認|売却価格査定|レポーティング,東急リバブル株式会社,スマサテ,リーウェイズ株式会社,賃料査定システムの活用により、査定根拠の提示と投資判断に必要な資料作成を支援した事例。,https://sumasate.jp/example/009/
売買仲介,不動産仲介,売却価格査定|価格妥当性確認|販売資料作成,三菱UFJ不動産販売株式会社,Gate.,リーウェイズ株式会社,査定の平準化と提案資料作成の迅速化を目的に、不動産データとAI査定を活用した事例。,https://ai.gate.estate/blog/329/
売買仲介,不動産仲介,リード獲得|物件情報整理|販売資料作成|売却活動管理,株式会社SORAホーム,いえらぶCLOUD,株式会社いえらぶGROUP,ホームページ反響獲得、物件入力補助、反響分析を組み合わせ、開業初期から業務基盤を整備した事例。,https://ielove-cloud.jp/case/detail44/
売買仲介,不動産仲介,物件情報整理|売却活動管理|契約・決済,マイホームグループ,いい生活 売買クラウド,株式会社いい生活,既存業務システムの更新を機に、売買仲介業務をクラウドSaaSへ移行し、DX推進を図った事例。,https://www.es-service.net/topics/20220324/
住宅・開発,不動産仲介,リード獲得|販売資料作成|売却活動管理,株式会社ユニホー,いい生活 売買クラウド,株式会社いい生活,売買部門のWebマーケティング推進に向け、物件情報と自社サイト運用をクラウド化した事例。,https://www.es-service.net/topics/20201015-2/
不動産管理,不動産開発/不動産運用,PM/BM管理|修繕計画|レポーティング,日本管財株式会社,管理ロイド,株式会社THIRD,無人管理物件の検針・点検業務で、現地記入と再入力の負荷を下げるためトライアル導入した事例。,https://www.nkanzaihd.co.jp/news/20230728%E2%91%A0/
不動産管理,不動産開発/不動産運用,PM/BM管理|修繕計画|レポーティング,東京建物株式会社,管理ロイド,株式会社THIRD,建物管理業務の電子化と管理品質向上を目的に、管理ロイドの導入・コンサルティングを活用した事例。,https://kanri-roid.app/
不動産管理,不動産仲介,内見・案内|販売資料作成|物件情報整理,パナソニック ホームズ不動産株式会社,スペースリー,株式会社スペースリー,賃貸物件のVR撮影制作から業者間連携までを自動化し、管理物件のVR化を進めた事例。,https://www.lvnmag.jp/news/lvn_magazinenews/1663/
住宅FC,不動産仲介,重要事項説明|売買契約|契約・決済,クレバリーホーム VARY'S,PICKFORM,株式会社PICK,住宅FCブランドで電子契約・案件管理・顧客管理を備えたPICKFORMを全店導入した事例。,https://pick-hp.com/pickform
不動産管理,不動産開発/不動産運用,建設・改修管理|修繕計画|レポーティング,野村不動産パートナーズ株式会社,SPIDERPLUS,スパイダープラス株式会社,リニューアル領域で図面・写真・帳票管理をデジタル化し、現場と事務作業の効率化を進めた事例。,https://spider-plus.com/case/nomura-pt/
不動産開発,不動産開発/不動産運用,初期スクリーニング|価格妥当性確認|用途検討|事業収支作成,九州旅客鉄道株式会社,デベNAVI,つくるAI株式会社,用地担当者の初期ボリュームチェックを高速化し、検討案件の絞り込みと仲介会社との会話をスムーズにした事例。,https://tsukuru-ai.co.jp/deve-navi/use-case/jr-kyushu
不動産投資・開発,不動産購入,初期スクリーニング|価格妥当性確認|用途検討|事業収支作成,株式会社TRIAD,デベNAVI,つくるAI株式会社,最大2週間かかっていた土地仕入れの一次検討をその場で完結し、案件判断のスピードを高めた事例。,https://tsukuru-ai.co.jp/use-case/triad
不動産投資・開発,不動産購入,初期スクリーニング|価格妥当性確認|用途検討|事業収支作成,株式会社ラーテルパートナーズ,デベNAVI,つくるAI株式会社,上長確認や外部委託で時間がかかっていた土地の仕分けを、担当者ベースで一次検討できるようにした事例。,https://tsukuru-ai.co.jp/use-case/ratel-partners
不動産開発,不動産仲介,売却提案|価格妥当性確認|用途検討|事業収支作成,日本住宅開発株式会社,デベNAVI,つくるAI株式会社,即時のボリュームチェックを提案に活用し、他社が断念した案件の受注につなげた事例。,https://tsukuru-ai.co.jp/use-case/n-jk
不動産開発,不動産開発/不動産運用,ソーシング|物件情報整理|価格妥当性確認|DD管理,株式会社アズ企画設計,TASUKI TECH LAND,株式会社ZISEDAI（タスキグループ）,スプレッドシートに蓄積した膨大な仕入情報を、都市計画情報や過去実績とあわせて地図上で活用する体制へ移行した事例。,https://tasukicorp.co.jp/news/15975/
不動産開発,不動産開発/不動産運用,ソーシング|物件情報整理|DD管理|レポーティング,リストデベロップメント株式会社,TASUKI TECH LAND,株式会社ZISEDAI（タスキグループ）,Excel中心の物件情報管理から、スマートフォン・タブレットでも確認できる仕入情報管理へ移行した事例。,https://tasukicorp.co.jp/news/15794/
不動産開発,不動産開発/不動産運用,ソーシング|物件情報整理|価格妥当性確認|レポーティング,Way株式会社,TASUKI TECH LAND,株式会社ZISEDAI（タスキグループ）,不動産売買・仲介・開発を行う会社で、仕入情報の一元管理と過去検討履歴の検索性を高めた事例。,https://tasukicorp.co.jp/news/13851/
売買仲介,不動産仲介,物件概要書作成|帯替え|販売資料作成|買主探索,INA&Associates株式会社,フォレストPRO,株式会社オープンルーム,販売図面の編集・帯替えや物件提案の効率化にフォレストPROを活用した不動産仲介会社の事例。,https://forest.openrm.jp/interviews/inaa
売買仲介,不動産仲介,物件概要書作成|帯替え|販売資料作成|買主探索,株式会社ツナシマ,フォレストPRO,株式会社オープンルーム,物件図面を起点にした営業資料作成と顧客提案のデジタル化を進めた不動産仲介会社の事例。,https://forest.openrm.jp/interviews/tsunashima-tokyo-bunkyo
売買仲介,不動産仲介,物件概要書作成|帯替え|販売資料作成|内見・案内,株式会社エリオン,フォレストPRO,株式会社オープンルーム,社宅仲介・管理業務で、物件資料の作成や提案業務の効率化にフォレストを活用した事例。,https://forest.openrm.jp/interviews/elion
不動産管理,不動産開発/不動産運用,PM/BM管理|修繕計画|建設・改修管理,株式会社フロントハウジング,ANDPAD,株式会社アンドパッド,管理物件の増加に伴う原状回復・小修繕工事の増加に対応し、案件管理と施主報告を効率化した事例。,https://andpad.jp/cases/fronthousing
不動産管理,不動産開発/不動産運用,PM/BM管理|修繕計画|建設・改修管理,株式会社メンテック・エージェンシー,ANDPAD,株式会社アンドパッド,協力会社の予定管理や工事進捗をANDPADボードで可視化し、小修繕・原状回復対応を効率化した事例。,https://andpad.jp/cases/maintech
ビル管理,不動産開発/不動産運用,PM/BM管理|修繕計画|建設・改修管理,日本管財株式会社,KANNA,株式会社アルダグラム,複数拠点の工事管理で、遠隔地移動や紙運用の負荷を削減し、複数案件を並行管理する体制を整えた事例。,https://lp.kanna4u.com/casestudy/nkanzai/
物流・不動産管理,不動産開発/不動産運用,PM/BM管理|修繕計画|レポーティング,株式会社宇徳,KANNA,株式会社アルダグラム,現場写真整理や日報作成をデジタル化し、報告作業の時間削減を目指した不動産・物流関連企業の事例。,https://lp.kanna4u.com/casestudy/utoc/
不動産・物品賃貸,不動産開発/不動産運用,PM/BM管理|修繕計画|レポーティング,株式会社スズキランド笠岡中央,KANNA,株式会社アルダグラム,写真共有とオンライン報告で顧客の待ち時間を減らし、対応状況の見える化を進めた事例。,https://lp.kanna4u.com/casestudy/suzukiland/
売買仲介,不動産売却,リード獲得|初回ヒアリング|売却活動管理,株式会社アクロス不動産,Digima,株式会社コンベックス,一括査定サイト経由の顧客を中長期でフォローし、ウェブ経由の受託率改善につなげた事例。,https://blog.digima.com/casestudy/a-cross
売買仲介,不動産購入,リード獲得|初回ヒアリング|買主探索,株式会社スペースエージェンシー,Digima,株式会社コンベックス,顧客のオンライン行動と興味関心を可視化し、来場率・契約率の向上を目指した事例。,https://blog.digima.com/casestudy/space-agency
売買仲介,不動産売却,リード獲得|初回ヒアリング|媒介契約,だんらん住宅株式会社,Digima,株式会社コンベックス,顧客情報の自動取り込みと管理により、営業アプローチ数と専任媒介契約獲得の増加につなげた事例。,https://blog.digima.com/casestudy/danran-j
売買仲介,不動産売却,リード獲得|初回ヒアリング|売却活動管理,株式会社乙訓不動産,Digima,株式会社コンベックス,中長期顧客へのフォロー工数を削減し、返信率向上と媒介率改善を目指した事例。,https://blog.digima.com/casestudy/otokuni-fudosan
売買仲介,不動産売却,リード獲得|初回ヒアリング|売却活動管理,三建ホーム株式会社,Digima,株式会社コンベックス,中長期フォローを自動化し、受託率と契約件数の改善につなげた不動産会社の事例。,https://blog.digima.com/casestudy/sanken-home
住宅販売,不動産仲介,リード獲得|初回ヒアリング|買主探索,株式会社住工房スタイル,KASIKA,Cocolive株式会社,見込み顧客の閲覧動向やメール反応を把握し、住宅販売の来場数向上を目指した事例。,https://ssl.gltomonokai.com/images/tool/kasika/files/kasika_interview01.pdf
売買仲介,不動産仲介,物件情報整理|販売資料作成|売却活動管理,株式会社リム不動産,ATBB,アットホーム株式会社,ATBBの物件情報を使った見積作成支援機能により、書面作成の手間と算出速度を改善した事例。,https://business.athome.jp/join/
賃貸管理,不動産開発/不動産運用,賃貸借契約管理|契約・決済|レポーティング,東武不動産株式会社,スマート契約,アットホーム株式会社,解約手続きや申込業務のオンライン化により、郵送・確認作業の時間短縮と顧客満足度向上を進めた事例。,https://www.athome.co.jp/corporate/news/release/services/tobufudosan-smart-moushikomi-202105/
