process,task,title,source,sourceType,summary,url
不動産売却,販売資料作成,不動産広告を見る前に,首都圏不動産公正取引協議会,団体資料,不動産広告で表示すべき事項や誤認表示を避ける観点の参考情報。,https://www.sfkoutori.or.jp/koukoku_before/
不動産売却,販売資料作成,マイソクとは？基本の記載項目と魅力的に見える作り方,LIFULL HOME'S Business,実務コラム,販売図面の役割、レイアウト、訴求要素、広告資料としての注意点を確認する参考情報。,https://biz.homes.jp/column/know-how-00053
不動産売却,販売資料作成,マイソクとは？作成のコツと法律上の注意点,マネーフォワード クラウド,実務コラム,販売図面の記載項目、取引態様、法律上の注意点を確認する参考情報。,https://biz.moneyforward.com/realestate/basic/622/
不動産売却,媒介契約,媒介契約制度の概要,不動産ジャパン,実務解説,一般媒介、専任媒介、専属専任媒介の違いと媒介契約時の基本を確認できる。,https://www.fudousan.or.jp/kiso/sale/3_2.html
不動産売却,売却活動管理,不動産売却のステップ別タスクシート,三菱地所リアルエステートサービス,実務資料,売却活動、内覧対応、販売活動報告、価格交渉準備などの実務タスクを確認する参考情報。,https://www.mecyes.co.jp/taqsie/master/wp-content/uploads/2023/03/step_tasksheet.pdf
不動産仲介,物件調査,物件調査の基本,不動産流通推進センター,実務解説,登記、現地、役所、法令制限など売買仲介の調査観点を整理する参考情報。,https://www.retpc.jp/chosa/
不動産仲介,物件調査,不動産調査業務の基本,不動産キャリア,実務コラム,宅建業務における調査、重要事項説明書作成に向けた確認観点の参考情報。,https://www.fudousan-jinzai.com/index.cfm?cid=1412&fuseaction=contents.fcts
不動産仲介,物件調査,境界線上の塀の越境とその説明をしなかった売主・媒介業者の責任,不動産流通推進センター,紛争事例,境界標、確定測量図、越境説明の実務上の重要性を確認する参考情報。,https://www.retpc.jp/archives/24609/
不動産仲介,重要事項説明,宅地建物取引業法の解釈・運用の考え方,国土交通省,公的情報,重要事項説明や媒介・取引実務に関する法令解釈を確認するための公式情報。,https://www.mlit.go.jp/totikensangyo/const/1_6_bt_000268.html
不動産仲介,重要事項説明,IT重説・書面電子化,国土交通省,公的情報,IT重要事項説明と重要事項説明書等の電磁的方法による提供に関する公式情報。,https://www.mlit.go.jp/totikensangyo/const/sosei_const_tk3_000092.html
不動産仲介,重要事項説明,IT重要事項説明等に関する取組,国土交通省,公的情報,IT重説の社会実験や運用検討の経緯を確認する公式情報。,https://www.mlit.go.jp/totikensangyo/const/sosei_const_fr3_000046.html
不動産仲介,重要事項説明,不動産売買で重要事項説明が不十分だった場合の損害賠償,ブライト法律事務所,法律コラム,事業用不動産の重要事項説明で問題になりやすい違反パターンを確認する参考情報。,https://law-bright.com/corporationlaw/articles/important-matter-explanation-liability/
不動産仲介,売買契約,不動産売買契約の流れ,不動産ジャパン,実務解説,売買契約、手付金、引渡しまでの流れを確認する参考情報。,https://www.fudousan.or.jp/kiso/buy/6_1.html
不動産仲介,売買契約,不動産売買契約書の作成・レビューにおける留意点,BUSINESS LAWYERS,法律コラム,融資特約、表明保証、除外事由など不動産売買契約レビューの論点を確認する参考情報。,https://www.businesslawyers.jp/practices/1022
不動産仲介,売買契約,不動産売買契約書のポイント,TMG法律事務所,法律コラム,境界、越境、通行・配管承諾、土壌汚染、賃貸借引継ぎなど特約化しやすい論点を確認する参考情報。,https://tmg-law.jp/faq/post-6273/
不動産仲介,内見・案内,内見時の確認ポイント,HOME4U,実務コラム,物件案内や内見で確認しやすい項目を整理する参考情報。,https://www.home4u.jp/sell/juku/course/basic/sell-40-11300
不動産仲介,初回ヒアリング,不動産営業の商談に欠かせないヒアリング,LIFULL HOME'S Business,実務コラム,不動産営業におけるヒアリングの重要性、質問項目、顧客ニーズ把握の参考情報。,https://biz.homes.jp/column/know-how-00010
不動産仲介,初回ヒアリング,不動産ヒアリングシートを活用した営業術,いえーる住宅研究所,実務コラム,ヒアリングシートを使った顧客要望、潜在ニーズ把握の参考情報。,https://lab.iyell.jp/knowledge/realestate/hiaringsheet/
不動産購入,取得方針策定,不動産投資の目的と方針,ARES,団体資料,投資方針、リスク、収益性を整理するための不動産証券化協会の基礎情報。,https://www.ares.or.jp/knowledge/
不動産購入,ソーシング,用地仕入れとは,東京大学協創プラットフォーム開発,業界コラム,開発用地の取得や情報収集、属人化課題、仕入れプロセスを整理した実務寄りの解説。,https://www.utokyo-ipc.co.jp/ja/column/land-purchasing/
不動産購入,ソーシング,用地仕入れの業務と課題,LIFULL HOME'S Business,業界コラム,不動産開発や用地仕入れの業務内容とDX課題を確認する参考情報。,https://biz.homes.jp/column/topics-00287
不動産購入,初期スクリーニング,不動産情報ライブラリ,国土交通省,公的情報,地価公示、取引価格、都市計画など初期検討で使う公開情報の入口。,https://www.reinfolib.mlit.go.jp/
不動産購入,価格妥当性確認,取引事例比較法と収益還元法,公益社団法人日本不動産鑑定士協会連合会,団体資料,不動産鑑定評価で使われる価格アプローチの基礎確認に使える。,https://www.fudousan-kanteishi.or.jp/
不動産購入,DD管理,物件デューデリジェンスチェックリスト,宅建コーチ,実務ツール,法務、物理、環境、テナント、財務、運営のDD項目を整理する参考情報。,https://www.takkenai.jp/tools/property-due-diligence/
不動産購入,DD管理,不動産DDチェックリスト,不動産ノート,実務コラム,売買前のDDで確認する資料、法務、物理、経済面の論点を確認する参考情報。,https://fudousan-note.jp/2026/02/04/due-diligence-checklist/
不動産購入,DD管理,土壌汚染の土地売買における訴訟リスク,CVmax,法律コラム,土壌汚染、地中障害物、表明保証、免責条項など土地売買DDの論点を確認する参考情報。,https://cvmax.jp/soil-contamination-lawsuit/
不動産購入,融資・稟議,不動産担保評価と融資,日本政策金融公庫,公的情報,融資検討での資金計画や返済計画の確認観点を補う参考情報。,https://www.jfc.go.jp/
不動産購入,買付提出,不動産売買における買付証明書とは,FLIE magazine,実務コラム,買付証明書の役割、記載内容、提出時の注意点を確認する参考情報。,https://flie.jp/magazine/estate/buying-certificate/
不動産購入,買付提出,不動産売買の買付証明書とは,ノムコム,実務コラム,買付証明書の意味、メリット、書き方、売渡承諾書との関係を確認する参考情報。,https://www.nomu.com/seller/column/20231010.html
不動産購入,買付提出,買付証明書・売渡承諾書の法的拘束力,田子総合法律事務所,法律コラム,買付証明書や売渡承諾書の法的拘束力について確認する参考情報。,https://www.tago-law.com/baibai3.html
不動産開発/不動産運用,事業企画,不動産開発事業の基礎,国土交通省,公的情報,不動産市場や開発・流通政策の前提を確認する入口。,https://www.mlit.go.jp/totikensangyo/
不動産開発/不動産運用,用途検討,都市計画情報の確認,国土交通省,公的情報,用途地域、建ぺい率、容積率など用途検討の前提確認に使う情報。,https://www.mlit.go.jp/toshi/city_plan/
不動産開発/不動産運用,事業収支作成,不動産事業計画書の作成,REIBS,実務資料,事業計画書や収支前提の整理を確認する参考資料。,https://online.reibs.jp/wp-content/uploads/2022/02/%EF%BC%94%E7%AB%A0%E7%99%BA%E8%A1%A8%E3%80%80%E4%BA%8B%E6%A5%AD%E8%A8%88%E7%94%BB%E6%9B%B8%E3%81%AE%E4%BD%9C%E6%88%90.pdf
不動産開発/不動産運用,許認可・設計,建築確認制度,国土交通省,公的情報,建築確認、検査、法令適合の前提を確認する公式情報。,https://www.mlit.go.jp/jutakukentiku/build/
不動産開発/不動産運用,建設・改修管理,建設業法令遵守ガイドライン,国土交通省,公的情報,工事契約や施工管理の前提となる建設業法令遵守の参考情報。,https://www.mlit.go.jp/totikensangyo/const/1_6_bt_000188.html
不動産開発/不動産運用,PM/BM管理,不動産管理におけるPMとBM,C+ONE,業界コラム,PMとBMの役割、管理運営、修繕計画の違いを整理する参考情報。,https://www.hokushinfudosan.co.jp/column/management/about-pm-bm
不動産開発/不動産運用,PM/BM管理,プロパティマネジメントの業務内容,Renue,業界コラム,PM業務の範囲、管理運営、レポーティングの観点を確認する参考情報。,https://renue.co.jp/posts/construction-property-management-guide
不動産開発/不動産運用,修繕計画,長期修繕計画標準様式,国土交通省,公的情報,修繕計画や積立金検討の基礎として使える公式資料。,https://www.mlit.go.jp/jutakukentiku/house/jutakukentiku_house_tk5_000064.html
不動産開発/不動産運用,修繕計画,長期修繕計画とは,横浜市,公的情報,長期修繕計画の意味、見直し、修繕工事項目の考え方を確認する参考情報。,https://www.city.yokohama.lg.jp/kurashi/sumai-kurashi/jutaku/manportal/manage/rule/repairplan.html
不動産開発/不動産運用,修繕計画,賃貸住宅の計画修繕推進セミナー,国土交通省,公的情報,民間賃貸住宅の計画修繕や性能向上の取組みを確認する参考情報。,https://www.mlit.go.jp/jutakukentiku/house/jutakukentiku_house_tk3_000118.html
不動産開発/不動産運用,修繕計画,中長期修繕計画とは,アクア,実務コラム,企業不動産や建物の中長期修繕計画の内容、見方、作成方法を確認する参考情報。,https://www.aqa-pm.co.jp/knowledge/maintenance-plan/
不動産開発/不動産運用,レポーティング,不動産投資運用と情報開示,ARES,団体資料,投資家やレンダー向けの不動産運用情報開示を考える参考情報。,https://www.ares.or.jp/knowledge/
