date,title,source,summary,url
2025-11-04,電子契約、8割超の顧客が満足／全宅連調査,R.E.port,全宅連とGMOによる不動産取引の電子契約実態調査。重要事項説明書、売買契約書、媒介契約書の電子化状況を把握できる。,https://www.re-port.net/article/news/0000080239/
2025-10-08,低廉不動産のマッチングサイトが運営開始,Realnetニュース / R.E.port,流通しにくい不動産のマッチングに関する記事。売却・購入プロセスのデジタル化テーマとして掲載。,https://news.real-net.jp/pickup/220623
2025-09-03,AI活用した空き家マッチングサービスを開発／ジェクトワン,R.E.port,AIによる売却査定、除却査定、収益性評価を組み込む空き家流通プラットフォームの開発記事。,https://www.re-port.net/article/news/0000079741/
2025-08-22,2025年版 不動産テックカオスマップ、528サービス掲載,リビンマガジンBiz,不動産テック協会によるカオスマップ発表を報じた記事。国内サービスの広がりを俯瞰できる。,https://www.lvnmag.jp/news/lvn_magazinenews/31265/
2025-07-01,不動産DX・不動産テック市場の拡大を解説,リビンマガジンBiz,不動産テック市場と関連サービスの広がりを解説する記事。サービス選定時の市場俯瞰に使える。,https://www.lvnmag.jp/column/sell/30617/
2025-06-25,データ活用をテーマにセミナー実施／RET,R.E.port,不動産テック協会イベントで不動産DXにおけるデータ活用やAI実装の動向が共有された記事。,https://www.re-port.net/article/news/0000079154/
2025-06-12,RET、「マンション管理DX部会」を設立,R.E.port,不動産テック協会がマンション管理DX部会を設立した記事。運用・管理領域のテック活用を追う基礎情報。,https://www.re-port.net/article/news/0000079055/
2025-05-20,30年度の不動産テック市場、22年度比約2.5倍に,R.E.port,矢野経済研究所による不動産テック市場調査。BtoB向け市場や仲介・管理業務支援、価格査定支援の拡大を確認できる。,https://www.re-port.net/article/news/0000075765/
2025-04-15,全日が会員のDX支援強化、不動産テック3社と提携,R.E.port,PICKFORMなど不動産テック企業との提携を通じた業界団体のDX支援強化。,https://www.re-port.net/article/news/0000078532/
2025-05-27,"HP作成ツール契約、7,000店を突破",R.E.port,ATBB連動、電子契約やオンライン手続き導線を含む不動産会社向けDXサービスの普及動向。,https://www.re-port.net/article/news/0000081928/
2025-03-17,DXツール導入した不動産会社の8割超が「効果を実感」,R.E.port,不動産DXに関する実態調査記事。物件募集・管理、重要事項説明、契約などでのDXツール導入状況を把握できる。,https://www.re-port.net/article/news/0000078278/
2025-03-28,不動産テック協会、データ活用・AI実装を重点領域に,R.E.port,不動産テック協会の活動方針に関する記事。データ基盤、AI、業界横断連携の流れを把握できる。,https://www.re-port.net/article/news/0000080677/
2025-01-05,2025年のPropTech資金調達トレンド,Commercial Observer,海外PropTechの資金調達・AI・住宅領域の動向を整理した記事。国内サービス比較の外部環境として掲載。,https://commercialobserver.com/2025/12/proptech-funding-2025-figures-trends/
2024-12-25,国交省、木造建築物の耐久性評価でガイドライン策定,R.E.port,非住宅建築物の評価・データ整備に関する制度ニュース。開発・運用領域の情報管理に関係する。,https://www.re-port.net/article/news/0000077650/
2024-10-04,野村不動産、ROOVのスタイルポートと資本業務提携,R.E.port,3DCG内覧・販売支援を住宅販売DXに組み込む動き。販売資料・内見体験のデジタル化に関係。,https://www.re-port.net/article/news/0000073862/
2024-08-05,野村不動産HD、管理ロイドのTHIRDへ出資,R.E.port,AI搭載の不動産管理プラットフォームを展開するTHIRDへの出資。PM/BM管理のDX動向。,https://www.re-port.net/article/news/0000066445/
2024-06-03,不動産取引価格情報・不動産情報ライブラリの活用進む,国土交通省,公的データ整備の動き。民間プロップテックが接続・補完する基礎情報として掲載。,https://www.reinfolib.mlit.go.jp/
2024-04-04,マンション管理適正評価制度、登録物件は価格が高く,R.E.port,管理評価データと取引価格を組み合わせた分析。管理・市場データ活用の参考ニュース。,https://www.re-port.net/article/news/0000075398/
2024-03-01,"BELS評価、延床面積2,000平方メートル未満が8割超",R.E.port,認証物件データを分析した記事。建物評価・環境性能データを扱うサービス比較の背景になる。,https://www.re-port.net/article/news/0000075083/
2024-01-20,旭化成不動産レジデンス、WealthParkビジネスを先行導入,R.E.port,賃貸管理アプリによるオーナー向け情報提供サービスの導入記事。運用・レポーティング領域の参考。,https://www.re-port.net/article/news/0000074544/
2023-09-05,明和地所、売買仲介でクラウドサインを導入,R.E.port,売買仲介契約の電子化に関する記事。契約・クロージング業務のデジタル化動向として掲載。,https://www.re-port.net/article/news/0000073606/
2023-05-26,大東建託・大和リビング、賃貸住宅ID発行会社を設立,R.E.port,不動産ID・建物IDと情報精度向上に関する業界インフラのニュース。物件情報整備に関係。,https://www.re-port.net/article/news/0000072632/
2023-02-22,Facilo、不動産コミュニケーションクラウドを発売,R.E.port,仲介会社と購入検討者のやり取りを一元化するクラウドの発売を報じた中立メディア記事。,https://www.re-port.net/article/news/0000071726/
2022-05-26,スマート契約が賃貸管理システムと連携,R.E.port,電子契約と賃貸管理システムのAPI連携を報じた記事。契約・管理業務の接続性を見る材料になる。,https://www.re-port.net/article/news/0000069199/
2022-03-17,賃貸更新時、27％が電子サイン化を希望,R.E.port,不動産取引における書類オンライン化・電子サインの実態調査。契約DX需要の背景として掲載。,https://www.re-port.net/article/news/0000068529/
2020-10-12,三好不動産、DXで顧客との関係強化,R.E.port,入居者アプリ・オーナーWeb活用のニュース。PM領域の顧客接点デジタル化を示す。,https://www.re-port.net/article/news/0000063685/
2020-03-25,リスト、ハワイ不動産にWealthParkを導入,R.E.port,不動産オーナー向け資産管理・運用ソフトウェアの導入記事。管理・運用領域のDXとして掲載。,https://www.re-port.net/article/news/0000061828/
2019-10-01,三井不動産リアルティ、賃貸仲介に電子契約を導入,R.E.port,クラウドサイン活用による契約手続き短縮の記事。売買・賃貸契約電子化の先行動向。,https://www.re-port.net/article/news/0000060266/
